codaNUM2018,REC,nClicks,Duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40,TagOnTime,Name,Whale,Coda,TsTo,Focal,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10,IPI11,IPI12,IPI13,IPI14,IPI15,IPI16,IPI17,IPI18,IPI19,IPI20,IPI21,IPI22,IPI23,IPI24,IPI25,IPI26,IPI27,IPI28,IPI29,IPI30,IPI31,IPI32,IPI33,IPI34,IPI35,IPI36,IPI37,IPI38,IPI39,IPI40,codaGroup ,average Pw,Pw1,Pw2,Pw3,Pw4,Pw5,Pw6,Pw7,Pw8,Pw9,Pw10,Pw11,Pw12,Pw13,Pw14,Pw15,Pw16,Pw17,Pw18,Pw19,Pw20,Pw21,Pw22,Pw23,Pw24,Pw25,Pw26,Pw27,Pw28,Pw29,Pw30,Pw31,Pw32,Pw33,Pw34,Pw35,Pw36,Pw37,Pw38,Pw39,Pw40,depth,Acc_x,Acc_y,Acc_z,Mag_x,Mag_y,Mag_z,Roll,Pitch,Head
4939,sw061b001_124,5,0.8275417,0.2567917,0.2733083,0.1672333,0.1302084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,9,152.9482,1,3.1,3.116667,3.141667,3.133333,3.133333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.98E+00,3.19E+00,2.93E+00,2.92E+00,2.95E+00,2.94E+00,2.94E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.320319409,-0.18347422,-0.534070379,0.812415619,14.52567608,31.0256335,-1.267166879,-0.58154974,-0.186519419,-1.162414955
4963,sw061b001_124,4,0.946011,0.326062,0.3117551,0.3081939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,3,156.0181,0,1.541667,3.183333,3.158333,3.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3.04E-02,1.33E-02,2.93E-02,2.88E-02,4.03E-02,4.03E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.381703456,0.07535618,-0.50575103,0.860238515,10.36584476,31.81255292,-7.648370818,-0.531489449,0.075372087,-1.097913938
4940,sw061b001_124,5,0.8468334,0.2681917,0.28675,0.1660917,0.1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,10,156.199,1,3.116667,3.108333,3.108333,3.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.08E+00,3.31E+00,3.13E+00,3.08E+00,3.07E+00,2.95E+00,2.95E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.364305072,0.086608587,-0.476838781,0.871857244,10.39065736,31.55858621,-8.628429934,-0.500477763,0.086934893,-1.08864982
4964,sw061b001_124,4,1.03065,0.3755167,0.32575,0.3293833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,4,160.9444,0,3.241667,3.216667,3.225,3.241667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3.29E+00,3.04E+00,4.04E+00,4.15E+00,2.62E+00,2.62E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.085239225,0.068430423,1.002626396,-0.215837701,-3.52456746,-25.67082192,-21.23667345,1.782832751,0.06662389,-1.652542274
4965,sw061b001_124,4,1.0820167,0.373175,0.3639,0.3449417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,5,165.8769,0,3.241667,3.2,3.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3.41E+00,2.18E+00,2.37E+00,3.06E+00,4.73E+00,4.73E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.444923275,-0.00260192,0.995644334,0.010659007,2.012346114,-19.41471137,-27.91787236,1.560091099,-0.002613147,-1.500147654
4941,sw061b001_124,5,1.0484083,0.3581333,0.3603667,0.1716666,0.1582417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,11,166.211,1,3.108333,3.1,3.108333,3.108333,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7.57E-01,8.99E-01,7.59E-01,8.41E-01,7.24E-01,6.59E-01,6.59E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.392959863,-0.046621088,1.005887135,-0.033556277,3.472208175,-19.70791379,-27.62176302,1.604143842,-0.046289371,-1.479074645
4942,sw061b001_124,5,0.9956333,0.3423583,0.3325834,0.1721583,0.1485333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,12,170.3441,1,3.1,3.091667,3.108333,3.108333,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.17E+00,1.05E+00,1.16E+00,1.2E+00,1.24E+00,1.2E+00,1.2E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.954824572,-0.228115083,0.740466213,-0.618530315,6.433306278,-32.14603267,-8.027248088,2.266709161,-0.232170252,-1.504838006
4966,sw061b001_124,4,1.07565,0.3895084,0.3517916,0.33435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,6,170.5812,0,3.208333,3.191667,3.175,3.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4.3E+00,5.37E+00,4.88E+00,4.18E+00,3.54E+00,3.54E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97523536,-0.217186201,0.726811149,-0.644750488,5.999385422,-32.43843492,-7.014169745,2.296435634,-0.219924717,-1.511982913
4967,sw061b001_124,4,1.020525,0.3446084,0.3496749,0.3262417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,7,174.7044,0,3.175,3.175,3.183333,3.191667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4.67E+00,6.39E+00,4.73E+00,4.03E+00,4.09E+00,4.09E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.450060766,-0.174851774,0.135156898,-0.984812036,10.64806136,-28.06066747,16.00112882,3.005203386,-0.174118353,-1.301230433
4943,sw061b001_124,5,0.9803084,0.3444583,0.3269917,0.1591083,0.1497501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,13,174.8052,1,3.066667,3.066667,3.083333,3.091667,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.85E+00,1.83E+00,1.81E+00,1.9E+00,1.84E+00,1.86E+00,1.86E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.442864705,-0.1751507,0.120868934,-0.990346192,10.63790133,-27.76351348,16.49551528,3.020146126,-0.173784505,-1.301133468
4968,sw061b001_124,5,1.4634833,0.3348,0.3322333,0.3321834,0.4642666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,8,178.4286,0,3.175,3.175,3.175,3.166667,3.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4.79E+00,3.41E+00,3.52E+00,3.54E+00,3.82E+00,7.22E+00,7.22E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.651374179,-0.239010826,-0.142953277,-0.964877047,15.73722859,-22.25632611,20.91941972,-2.994505648,-0.240301646,-1.152943027
4944,sw061b001_124,5,0.9525416,0.350825,0.3257333,0.1393833,0.1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,14,178.667,1,3.091667,3.083333,3.083333,3.091667,3.091667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.85E+00,1.96E+00,1.86E+00,1.82E+00,1.84E+00,1.81E+00,1.81E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.676426052,-0.247148561,-0.139683445,-0.969068541,16.06671187,-22.01065322,21.04469241,-2.998436699,-0.247262884,-1.144791515
4969,sw061b001_124,4,0.9997651,0.3303356,0.332837,0.3365925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,9,182.2411,0,3.208333,3.166667,3.166667,3.158333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5.88E-01,4.2E-01,9.61E-01,6.41E-01,4.6E-01,4.6E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97621937,-0.385058299,-0.595949133,-0.712182212,20.2007915,-9.102364067,26.61093831,-2.444816042,-0.3930722,-1.072796499
4970,sw061b001_124,4,1.0187389,0.3432798,0.3419874,0.3334717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,10,185.827,0,3.15,3.166667,1.575,1.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2.31E-01,4.77E-01,3.54E-01,1.19E-01,1.02E-01,1.02E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.406166447,-0.290885966,-0.910208983,-0.309267468,22.34974301,6.816579158,25.37154341,-1.898334327,-0.293832792,-0.90463942
4945,sw061b001_124,5,1.0598584,0.3829667,0.37075,0.1532417,0.1529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,1,15,186.5992,1,3.108333,3.116667,3.125,3.108333,3.108333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.48E+00,1.35E+00,1.62E+00,1.55E+00,1.46E+00,1.46E+00,1.46E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.563203628,-0.255048968,-0.929036402,-0.294990971,23.738008,7.996550777,23.7879856,-1.878251276,-0.255919557,-0.811723814
4971,sw061b001_124,4,1.0307395,0.3514968,0.3421299,0.3371128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/3/2015,ATWOOD,2,11,190.133,0,3.183333,2.366667,3.133333,3.141667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2.43E-01,2.96E-01,2.11E-01,2.26E-01,2.4E-01,2.4E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.994836992,-0.187744814,-0.983923526,0.092922533,23.95554252,17.91605315,17.03541983,-1.4766348,-0.187730212,-0.737916613
